,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
2818,2818,1,True,4.0,2.0,2.0,22.0,5.0,,0.8636363636363636,False,,,,43,5,38,43,0.6153846153846154,0.6666666666666666,True,False
2819,2819,1,True,4.0,2.0,2.0,22.0,5.0,,0.9574468085106383,False,,,,46,5,41,46,0.6190476190476191,0.8095238095238095,True,False
2820,2820,1,True,2.0,4.0,1.0,18.0,3.0,,0.8214285714285714,False,,,,55,3,52,55,0.6415094339622641,0.7547169811320755,True,False
2821,2821,0,False,,,,,,6.0,0.4074074074074074,False,,,,26,0,26,26,0.038461538461538464,0.11538461538461539,False,False
2822,2822,0,False,,,,,,4.0,0.3695652173913043,True,4.0,upper,38.0,45,0,45,45,0.06666666666666667,0.1111111111111111,False,False
2823,2823,1,True,4.0,2.0,2.0,22.0,5.0,,0.8181818181818182,False,,,,32,5,27,32,0.6071428571428571,0.7142857142857143,False,False
2824,2824,0,True,3.0,4.0,2.0,18.0,4.0,,0.6730769230769231,False,8.0,lower,47.0,51,4,47,51,0.4375,0.5208333333333334,False,False
2825,2825,0,True,5.0,2.0,3.0,22.0,6.0,,0.6818181818181818,False,,,,43,6,37,43,0.5789473684210527,0.631578947368421,False,False
2826,2826,0,True,5.0,3.0,3.0,20.0,6.0,,0.6666666666666666,False,1.0,lower,22.0,47,6,41,47,0.4523809523809524,0.5952380952380952,False,False
2827,2827,0,False,,,,,,4.0,0.5208333333333334,False,4.0,upper,21.0,47,0,47,47,0.3617021276595745,0.3617021276595745,False,False
2828,2828,1,True,12.0,0.0,9.0,25.0,13.0,,0.926829268292683,False,,,,40,13,27,40,0.6785714285714286,0.7857142857142857,False,False
2829,2829,0,True,2.0,4.0,1.0,18.0,3.0,,0.6829268292682927,False,3.0,upper,25.0,40,3,37,40,0.5263157894736842,0.5789473684210527,False,True
2830,2830,1,True,11.0,0.0,7.0,25.0,12.0,,0.8596491228070176,False,,,,56,12,44,56,0.6444444444444445,0.7555555555555555,False,True
2831,2831,0,False,,,,,,5.0,0.5714285714285714,False,2.0,lower,44.0,69,0,69,69,0.15942028985507245,0.2463768115942029,False,False
2832,2832,1,True,3.0,4.0,2.0,18.0,4.0,,0.75,False,,,,35,4,31,35,0.5,0.59375,True,True
2833,2833,0,True,6.0,0.0,3.0,25.0,7.0,,0.7192982456140351,False,,,,56,7,49,56,0.48,0.66,False,False
2834,2834,1,True,4.0,2.0,2.0,22.0,5.0,,0.7407407407407407,False,,,,80,5,75,80,0.5131578947368421,0.5657894736842105,False,True
2835,2835,1,True,3.0,6.0,2.0,14.0,4.0,,0.8571428571428571,False,,,,55,4,51,55,0.6346153846153846,0.7692307692307693,False,False
2836,2836,0,False,,,,,,3.0,0.6101694915254238,False,,,,58,0,58,58,0.2413793103448276,0.3275862068965517,False,False
2837,2837,0,False,,,,,,6.0,0.40816326530612246,False,1.0,lower,32.0,48,0,48,48,0.1875,0.22916666666666666,False,False
2838,2838,0,False,,,,,,4.0,0.37037037037037035,True,7.0,upper,44.0,53,0,53,53,0.18867924528301888,0.24528301886792453,False,False
2839,2839,1,True,3.0,7.0,2.0,12.0,4.0,,0.6022727272727273,False,6.0,upper,84.0,87,4,83,87,0.47619047619047616,0.5833333333333334,False,False
2840,2840,0,False,,,,,,5.0,0.4,False,,,,44,0,44,44,0.20454545454545456,0.25,False,False
2841,2841,0,False,,,,,,4.0,0.39473684210526316,True,,,,37,0,37,37,0.10810810810810811,0.21621621621621623,False,False
2842,2842,1,True,6.0,0.0,3.0,25.0,7.0,,0.9069767441860465,False,,,,42,7,35,42,0.6388888888888888,0.8055555555555556,True,True
2843,2843,1,True,6.0,0.0,3.0,25.0,7.0,,0.8275862068965517,False,,,,57,7,50,57,0.5294117647058824,0.7058823529411765,False,True
2844,2844,1,True,4.0,2.0,2.0,22.0,5.0,,0.8571428571428571,False,,,,34,5,29,34,0.6666666666666666,0.7333333333333333,False,False
2845,2845,1,True,11.0,0.0,8.0,25.0,12.0,,0.8852459016393442,False,,,,60,12,48,60,0.7346938775510204,0.7959183673469388,True,False
2846,2846,1,True,4.0,2.0,2.0,22.0,5.0,,0.8611111111111112,False,,,,71,5,66,71,0.6268656716417911,0.7164179104477612,True,False
2847,2847,0,False,,,,,,3.0,0.5581395348837209,False,,,,42,0,42,42,0.21428571428571427,0.2857142857142857,False,False
2848,2848,0,False,,,,,,4.0,0.47058823529411764,False,2.0,upper,45.0,50,0,50,50,0.08,0.24,False,False
2849,2849,0,False,,,,,,5.0,0.46551724137931033,False,4.0,upper,42.0,57,0,57,57,0.12280701754385964,0.17543859649122806,False,False
2850,2850,0,False,,,,,,13.0,0.3333333333333333,True,5.0,lower,6.0,29,0,29,29,0.034482758620689655,0.10344827586206896,False,False
2851,2851,1,True,22.0,0.0,18.0,25.0,23.0,,0.9629629629629629,False,,,,53,23,30,53,0.6451612903225806,0.7419354838709677,False,False
2852,2852,0,False,,,,,,3.0,0.29411764705882354,True,3.0,upper,19.0,50,0,50,50,0.04,0.1,False,False
2853,2853,0,False,,,,,,12.0,0.2894736842105263,True,4.0,lower,6.0,37,0,37,37,0.21621621621621623,0.21621621621621623,False,False
2854,2854,1,True,15.0,0.0,11.0,25.0,16.0,,0.9411764705882353,False,,,,50,16,34,50,0.7142857142857143,0.8,True,False
2855,2855,1,True,3.0,4.0,2.0,18.0,4.0,,0.859375,False,,,,63,4,59,63,0.5833333333333334,0.7166666666666667,False,False
2856,2856,0,False,,,,,,4.0,0.4222222222222222,False,3.0,lower,42.0,44,0,44,44,0.1590909090909091,0.25,False,False
2857,2857,0,True,11.0,0.0,8.0,25.0,12.0,,0.47368421052631576,False,19.0,upper,45.0,56,12,44,56,0.17777777777777778,0.2,False,False
2858,2858,0,False,,,,,,2.0,0.4444444444444444,False,8.0,upper,28.0,53,0,53,53,0.1509433962264151,0.20754716981132076,False,False
2859,2859,0,True,3.0,4.0,2.0,18.0,4.0,,0.6792452830188679,False,,,,52,4,48,52,0.5510204081632653,0.5918367346938775,False,False
2860,2860,1,True,7.0,0.0,4.0,25.0,8.0,,0.8571428571428571,False,,,,48,8,40,48,0.6097560975609756,0.7317073170731707,False,False
2861,2861,0,False,,,,,,4.0,0.43103448275862066,False,5.0,upper,32.0,57,0,57,57,0.15789473684210525,0.21052631578947367,False,False
2862,2862,0,False,,,,,,3.0,0.4117647058823529,False,3.0,lower,20.0,33,0,33,33,0.12121212121212122,0.18181818181818182,False,False
2863,2863,1,True,12.0,0.0,9.0,25.0,13.0,,0.8166666666666667,False,,,,59,13,46,59,0.6382978723404256,0.723404255319149,True,False
2864,2864,1,True,7.0,1.0,4.0,24.0,8.0,,0.9565217391304348,False,,,,45,8,37,45,0.7105263157894737,0.7631578947368421,True,False
2865,2865,0,True,8.0,0.0,4.0,25.0,9.0,,0.7272727272727273,False,,,,43,9,34,43,0.45714285714285713,0.5428571428571428,True,False
2866,2866,1,True,6.0,0.0,3.0,25.0,7.0,,0.9333333333333333,False,,,,59,7,52,59,0.6981132075471698,0.7924528301886793,False,False
2867,2867,0,False,,,,,,5.0,0.35714285714285715,True,5.0,lower,51.0,55,0,55,55,0.05454545454545454,0.14545454545454545,False,False
2868,2868,0,True,6.0,0.0,3.0,25.0,7.0,,0.6444444444444445,False,3.0,upper,35.0,44,7,37,44,0.4473684210526316,0.5,False,False
2869,2869,0,True,3.0,4.0,2.0,18.0,4.0,,0.5087719298245614,False,12.0,upper,49.0,56,4,52,56,0.37735849056603776,0.41509433962264153,False,True
2870,2870,1,True,2.0,4.0,1.0,18.0,3.0,,0.7719298245614035,False,1.0,upper,48.0,56,3,53,56,0.5925925925925926,0.6111111111111112,False,False
2871,2871,0,False,,,,,,3.0,0.2727272727272727,True,7.0,upper,11.0,43,0,43,43,0.11627906976744186,0.23255813953488372,False,False
